age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,segment,job_change,relocation,competitor_pricing_gap,upi_frequency_drop,app_login_decay,credit_card_count,avg_monthly_balance,loan_interest_rate
23,technician,single,primary,no,144764.37,yes,no,cellular,8,sep,2475,1,-1,0,unknown,yes,Salaried,0,0,-0.74,0.3,0.05,1,26860.72,0.0
18,unemployed,single,unknown,no,6981.39,no,no,cellular,28,jun,2482,5,23,4,unknown,yes,Jan Dhan,1,0,-0.34,0.88,0.05,0,1701.25,0.0
45,technician,single,unknown,no,104221.41,no,no,cellular,21,jun,676,6,-1,0,unknown,no,Salaried,0,0,0.05,0.12,0.11,0,18895.07,0.0
56,technician,single,secondary,no,129957.35,yes,yes,unknown,26,jun,1653,5,-1,0,unknown,no,Salaried,1,0,0.15,0.26,0.49,3,47253.71,0.0
51,admin.,married,secondary,no,139791.28,yes,no,unknown,5,sep,2031,2,-1,0,unknown,yes,Salaried,0,0,0.04,0.3,0.27,1,78324.06,0.0
56,services,divorced,tertiary,no,5291.14,no,no,unknown,11,feb,1212,7,81,0,unknown,no,Jan Dhan,1,0,-1.21,0.41,0.26,0,4855.39,0.0
24,housemaid,divorced,primary,no,8416.69,no,no,cellular,16,jan,468,6,-1,0,unknown,no,Jan Dhan,0,0,0.84,0.59,0.06,0,2538.31,0.0
26,technician,single,secondary,no,385258.87,yes,yes,unknown,13,nov,2671,6,225,0,unknown,yes,Salaried,0,0,-1.94,0.07,0.47,1,71078.82,0.0
22,admin.,divorced,unknown,no,356842.06,no,no,cellular,5,dec,2348,10,-1,0,unknown,no,Salaried,0,0,-1.43,0.34,0.45,0,34460.05,0.0
49,management,single,secondary,no,238842.09,yes,no,cellular,18,aug,584,7,94,3,other,yes,Salaried,0,0,0.42,0.04,0.49,0,72235.99,0.0
18,student,married,primary,no,4848.08,no,no,cellular,1,jul,1096,8,147,5,success,yes,Student,0,0,0.91,0.49,0.4,1,1773.04,0.0
42,admin.,single,primary,no,34569.75,yes,no,cellular,22,apr,1663,2,-1,0,unknown,yes,Salaried,0,0,-1.75,0.06,0.43,3,57742.28,0.0
42,management,single,primary,no,110087.01,no,no,cellular,19,feb,310,9,110,1,failure,no,Salaried,0,0,-0.89,0.27,0.2,2,35288.31,0.0
44,entrepreneur,single,primary,no,1242771.64,yes,no,unknown,5,may,1164,10,108,1,failure,no,MSME,0,0,0.72,0.5,0.25,5,53520.4,12.9
39,admin.,single,primary,no,11737.39,yes,no,cellular,29,dec,620,9,19,4,other,yes,Salaried,0,0,-0.91,0.3,0.13,1,69154.64,0.0
37,self-employed,divorced,secondary,no,12083673.84,yes,yes,unknown,8,mar,735,7,-1,0,unknown,yes,HNI,0,0,0.79,0.11,0.07,5,7002400.7,0.0
40,entrepreneur,single,secondary,no,570271.13,yes,yes,cellular,7,jul,1354,5,36,2,success,no,MSME,0,0,-1.01,0.22,0.34,1,222143.78,8.23
41,entrepreneur,single,unknown,no,398207.24,yes,yes,unknown,7,may,191,7,-1,0,unknown,no,MSME,0,0,-0.01,0.57,0.27,3,67215.74,11.58
25,housemaid,single,unknown,no,5071.23,no,no,telephone,13,nov,722,10,292,3,unknown,yes,Jan Dhan,0,0,0.36,0.75,0.1,0,3334.46,0.0
46,services,divorced,primary,no,6756.27,no,no,cellular,22,nov,2546,6,-1,0,unknown,no,Jan Dhan,0,0,-1.4,0.88,0.24,0,2555.87,0.0
48,blue-collar,married,secondary,no,4554.16,no,no,cellular,23,jan,446,7,-1,0,unknown,yes,Jan Dhan,0,0,-0.61,0.76,0.17,0,4430.68,0.0
32,entrepreneur,divorced,unknown,no,940100.56,yes,yes,unknown,18,aug,661,8,231,1,failure,no,MSME,0,0,-0.12,0.67,0.4,4,350409.98,13.93
22,student,single,secondary,no,1249.02,no,no,cellular,14,jun,2232,8,-1,0,unknown,yes,Student,0,0,0.71,0.29,0.35,0,1839.54,0.0
58,management,divorced,secondary,no,243720.07,yes,no,cellular,9,jul,1999,1,200,5,success,yes,Salaried,0,0,0.76,0.36,0.19,2,40382.08,0.0
47,technician,married,secondary,no,286552.07,no,no,cellular,11,jul,1149,7,-1,0,unknown,yes,Salaried,0,0,-1.84,0.35,0.21,0,22135.53,0.0
